CPU,CPU Cores,CPU Threads,CPU TDP (W),GPU,GPU Series,GPU VRAM (GB),GPU Bandwidth (GB/s),GPU TDP (W),Total System TDP (W),Bottleneck Score,RAM (GB),Resolution,Graphics Settings,Min FPS,Avg FPS,Max FPS
Intel i7-12700F,12,20,65,RTX 2070,RTX 2000,8,448,300,365,3.5,8,3840x2160,High,28,35,43
Intel i5-12600K,10,16,125,RX 6800,RX 6000,16,512,150,275,5.0,8,1920x1080,Low,72,93,102
Ryzen 9 5900X,12,24,105,RTX 3080,RTX 3000,10,760,200,305,3.96,8,2560x1440,High,51,71,84
Intel i7-13700K,16,24,125,RTX 3070,RTX 3000,8,448,200,325,3.33,8,2560x1440,Low,60,80,93
Intel i5-12400F,6,12,65,RX 6900 XT,RX 6000,16,512,200,265,7.5,16,3840x2160,Low,48,65,79
Intel i9-13900K,24,32,125,GTX 1060,GTX 1000,6,192,250,375,1.41,16,1920x1080,Medium,40,49,62
Ryzen 3 4100,4,8,65,RX 6900 XT,RX 6000,16,512,120,185,11.25,8,3840x2160,High,35,48,55
Intel i9-12900K,16,24,125,RTX 3080 Ti,RTX 3000,12,912,150,275,4.08,16,1920x1080,Ultra,55,66,81
Ryzen 5 7600X,6,12,105,RTX 2080 Ti,RTX 2000,11,616,300,405,7.08,16,1920x1080,Low,71,101,129
Ryzen 5 7600X,6,12,105,RTX 3070,RTX 3000,8,448,150,255,6.67,16,3840x2160,Ultra,31,40,45
Intel i9-14900K,24,32,125,RTX 3090,RTX 3000,24,936,300,425,3.12,32,3840x2160,Ultra,32,44,57
Ryzen 9 7950X3D,16,32,170,GTX 1070,GTX 1000,8,256,120,290,1.72,8,1920x1080,Low,54,67,79
Ryzen 7 7800X3D,8,16,120,RX 6600,RX 6000,8,224,120,240,3.44,32,3840x2160,Ultra,17,22,28
Ryzen 3 4100,4,8,65,RTX 4080,RTX 4000,16,716,200,265,13.12,16,1920x1080,High,59,85,105
Intel i9-12900K,16,24,125,RX 7800 XT,RX 7000,16,624,150,275,3.54,32,1920x1080,High,52,72,84
Intel i3-12100F,4,8,58,RTX 4070 Ti,RTX 4000,12,576,200,258,11.25,8,2560x1440,Low,79,96,121
Intel i9-14900K,24,32,125,RTX 2080 Ti,RTX 2000,11,616,300,425,2.66,8,1920x1080,Low,85,104,134
Intel i7-13700K,16,24,125,GTX 1650 Super,GTX 1000,4,192,150,275,1.67,32,3840x2160,Ultra,10,14,17
Intel i9-13900K,24,32,125,RTX 4070,RTX 4000,12,504,120,245,2.66,16,2560x1440,High,49,65,74
Ryzen 5 7600X,6,12,105,RTX 2070,RTX 2000,8,448,150,255,5.83,32,3840x2160,Medium,29,42,51
Intel i5-12600K,10,16,125,RTX 2080,RTX 2000,8,448,150,275,5.0,32,2560x1440,Low,62,78,89
Ryzen 9 7950X3D,16,32,170,RTX 3080 Ti,RTX 3000,12,912,250,420,3.06,8,2560x1440,Ultra,43,54,63
